"sequence","species_id","species_name","pdb","prophage","modeller","uniprot","Identity","Coverage1","Coverage2","rank","kegg_hit","EC.x","uniref_hit","uniref_identity","uniref_bitScore","uniref_eVal","cazy_hits","kofam","refseq","swissprot","evalue","score","COG_category","Description","EC.y"
"SpeciesTaxid_1680.NC_008618.1_11","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_11.pdb.gz","NO","NO","A0A1V8QD75","100","99.8","100","B","magnesium and cobalt exporter, CNNM family",NA,"UniRef90_A0A087CT78 Hemolysin-like protein n=98 Tax=Bacteria TaxID=2 RepID=A0A087CT78_BIFRU",0.89,812,5.87e-262,"0","magnesium and cobalt exporter, CNNM family",NA,NA,4.08e-307,839,"P","Transporter associated domain","-"
"SpeciesTaxid_1680.NC_008618.1_12","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_12.pdb.gz","NO","NO","A0ZZB0","100","99.6","100","B","carbonic anhydrase ","4.2.1.1","UniRef90_A0ZZB0 Carbonic anhydrase n=48 Tax=Bifidobacterium TaxID=1678 RepID=A0ZZB0_BIFAA",0.934,454,2.59e-142,"0","carbonyl sulfide hydrolase [EC:3.13.1.7]",NA,NA,7.25e-146,413,"P","Reversible hydration of carbon dioxide","4.2.1.1"
"SpeciesTaxid_1680.NC_008618.1_13","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_13.pdb.gz","NO","NO","A0ZZB1","100","99.5","100","B","",NA,"UniRef90_A0A174AIX0 3,4-dihydroxy-2-butanone 4-phosphate synthase n=6 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A174AIX0_BIFAD",0.851,375,2.61e-115,"0",NA,"multispecies: hypothetical protein",NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_14","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_14.pdb.gz","NO","NO","A0A1X2ZQ61","100","98.7","100","C","",NA,"UniRef90_A0A1X2ZQ61 Phosphoenolpyruvate carboxylase n=2 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2ZQ61_BIFAD",0.978,155,1.18e-41,"0",NA,"phosphoenolpyruvate carboxylase",NA,1.83e-39,145,"H","Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","4.1.1.31"
"SpeciesTaxid_1680.NC_008618.1_15","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_15.pdb.gz","NO","NO","A0A1D7UKT3","100","98.4","100","C","",NA,"UniRef90_A0A0M4LH79 Uncharacterized protein n=1 Tax=Bifidobacterium longum subsp. infantis TaxID=1682 RepID=A0A0M4LH79_BIFLI",0.966,130,2.28e-33,"0",NA,"multispecies: hypothetical protein",NA,2.17e-14,73.2,"D","nuclear chromosome segregation","-"
"SpeciesTaxid_1680.NC_008618.1_16","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_16.pdb.gz","NO","NO","A0A1D7UKW8","100","99.4","100","C","",NA,"UniRef90_A0A1D7UKW8 Uncharacterized protein n=2 Tax=Bifidobacterium TaxID=1678 RepID=A0A1D7UKW8_BIFLN",0.963,312,9.78e-95,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_17","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_17.pdb.gz","NO","NO","A0ZZB5","100","99.6","100","B","",NA,"UniRef90_A0ZZB5 Conserved phage-associated protein n=1 Tax=Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) TaxID=367928 RepID=A0ZZB5_BIFAA",0.934,538,1.34e-170,"0",NA,"hypothetical protein",NA,1.6e-81,264,"L","ATPase involved in DNA repair","-"
"SpeciesTaxid_1680.NC_008618.1_18","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_18.pdb.gz","NO","NO","T2HYW2","100","98.2","100","C","",NA,"UniRef90_A0A4R0UAI5 Uncharacterized protein n=5 Tax=Bifidobacterium longum TaxID=216816 RepID=A0A4R0UAI5_BIFLN",0.991,117,5.28e-29,"0",NA,"hypothetical protein",NA,5.13e-05,45.1,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_19","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_19.pdb.gz","NO","NO","A0ZZB7","100","99.7","100","B","",NA,"UniRef90_A0ZZB7 Uncharacterized protein n=1 Tax=Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a) TaxID=367928 RepID=A0ZZB7_BIFAA",0.996,640,3.45e-205,"0",NA,"hypothetical protein",NA,6.09e-71,230,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_20","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_20.pdb.gz","NO","NO","A0A4S5BDV7","100","99.5","100","B","",NA,"UniRef90_A0A1D7UKZ6 KORA domain-containing protein n=23 Tax=Bacteria TaxID=2 RepID=A0A1D7UKZ6_BIFLN",0.929,387,7.66e-120,"0",NA,"multispecies: trfb-related dna-binding protein",NA,1.9e-46,158,"S","Sigma-70, region 4","-"
"SpeciesTaxid_1680.NC_008618.1_21","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_21.pdb.gz","NO","NO","A0A1D7UKZ0","100","98.7","100","C","",NA,"UniRef90_A0A1D7UKZ0 Uncharacterized protein n=6 Tax=Bifidobacterium TaxID=1678 RepID=A0A1D7UKZ0_BIFLN",0.992,162,6.02e-44,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_22","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_22.pdb.gz","NO","NO","C2GXY4","100","99.9","95.8","B","",NA,"UniRef90_C2GXY4 Uncharacterized protein n=50 Tax=Bacteria TaxID=2 RepID=C2GXY4_BIFLN",0.978,1646,0,"0",NA,"multispecies: duf1906 domain-containing protein",NA,0,955,"M","Domain of unknown function (DUF1906)","-"
"SpeciesTaxid_1680.NC_008618.1_23","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_23.pdb.gz","NO","NO","A0A2N0SY47","100","99.4","100","C","",NA,"UniRef90_C2GXY3 Uncharacterized protein n=33 Tax=Bacteria TaxID=2 RepID=C2GXY3_BIFLN",0.954,333,1.3e-101,"0",NA,"hypothetical protein, partial",NA,4.06e-106,307,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_24","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_24.pdb.gz","NO","NO","R5N0A4","100","99.6","100","B","",NA,"UniRef90_B3DNY6 Uncharacterized protein n=53 Tax=Bacteria TaxID=2 RepID=B3DNY6_BIFLD",0.944,551,6.42e-175,"0",NA,"multispecies: hypothetical protein",NA,3.05e-195,541,"M","Domain of unknown function (DUF1906)","-"
"SpeciesTaxid_1680.NC_008618.1_25","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_25.pdb.gz","NO","NO","A0A2N0TAD8","100","99.5","100","B","",NA,"UniRef90_A0A0M3T605 Uncharacterized protein n=105 Tax=Bacteria TaxID=2 RepID=A0A0M3T605_BIFLI",0.849,364,1.85e-111,"0",NA,"multispecies: hypothetical protein",NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_26","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_26.pdb.gz","NO","NO","A0ZZC2","100","99.9","100","B","phosphoenolpyruvate carboxylase ","4.1.1.31","UniRef90_B6XSJ6 Phosphoenolpyruvate carboxylase n=108 Tax=Bacteria TaxID=2 RepID=B6XSJ6_9BIFI",0.942,1815,0,"0","phosphoenolpyruvate carboxylase [EC:4.1.1.31]",NA,NA,0,1802,"H","Forms oxaloacetate, a four-carbon dicarboxylic acid source for the tricarboxylic acid cycle","4.1.1.31"
"SpeciesTaxid_1680.NC_008618.1_27","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_27.pdb.gz","NO","NO","A0A173YRA9","100","99.8","100","B","",NA,"UniRef90_A0A0C2Z7A6 Membrane protein n=48 Tax=Bacteria TaxID=2 RepID=A0A0C2Z7A6_BIFAD",0.968,1241,0,"0",NA,"multispecies: threonine/serine exporter family protein",NA,0,1191,"S","Threonine/Serine exporter, ThrE","-"
"SpeciesTaxid_1680.NC_008618.1_28","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_28.pdb.gz","NO","NO","A0A076JFX8","99.8","99.8","100","B","sodium/proline symporter",NA,"UniRef90_A0ZZC4 Sodium/proline symporter n=106 Tax=Bifidobacterium TaxID=1678 RepID=A0ZZC4_BIFAA",0.923,1027,0,"0","solute carrier family 5 (sodium-coupled monocarboxylate transporter), member 8/12",NA,NA,0,1029,"E","Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family","-"
"SpeciesTaxid_1680.NC_008618.1_29","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_29.pdb.gz","NO","NO","A0ZZC5","100","99.7","100","B","tryptophanyl-tRNA synthetase ","6.1.1.2","UniRef90_C4FD20 Tryptophan--tRNA ligase n=9 Tax=Bifidobacterium TaxID=1678 RepID=C4FD20_9BIFI",0.915,702,1.56e-225,"0",NA,"tryptophan--trna ligase","tryptophanyl-trna synthetase ii [6.1.1.2]",4.63e-253,695,"J","Belongs to the class-I aminoacyl-tRNA synthetase family","6.1.1.2"
"SpeciesTaxid_1680.NC_008618.1_30","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_30.pdb.gz","NO","NO","A0A076JKE0","100","99.2","100","C","",NA,"UniRef90_A0A0C2Z4X7 Uncharacterized protein n=2 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2Z4X7_BIFAD",0.901,233,6.18e-68,"0",NA,"multispecies: duf3073 domain-containing protein",NA,2.75e-77,231,"S","Protein of unknown function (DUF3073)","-"
"SpeciesTaxid_1680.NC_008618.1_31","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_31.pdb.gz","NO","NO","A0A1X2ZPN5","100","99.3","100","C","",NA,"UniRef90_A0ZZC7 SCP_3 domain-containing protein n=29 Tax=Bifidobacterium TaxID=1678 RepID=A0ZZC7_BIFAA",0.995,290,2.16e-87,"0",NA,"multispecies: sterol carrier family protein",NA,5.3e-97,282,"I","Sterol carrier protein","-"
"SpeciesTaxid_1680.NC_008618.1_32","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_32.pdb.gz","NO","NO","A0ZZC8","100","99.9","100","B","glycogen phosphorylase ","2.4.1.1","UniRef90_A0ZZC8 Alpha-1,4 glucan phosphorylase n=65 Tax=Bifidobacterium TaxID=1678 RepID=A0ZZC8_BIFAA",0.974,1681,0,"GT35 glycogen or starch phosphorylase (EC 2.4.1.1).","glycogen phosphorylase [EC:2.4.1.1]",NA,NA,0,1622,"G","Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties","2.4.1.1"
"SpeciesTaxid_1680.NC_008618.1_33","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_33.pdb.gz","NO","NO","A0A087DL08","100","98.7","100","C","",NA,"UniRef90_A7A304 Uncharacterized protein n=9 Tax=Bifidobacterium TaxID=1678 RepID=A7A304_BIFAD",0.968,157,1.96e-42,"0",NA,"multispecies: hypothetical protein",NA,2.95e-48,154,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_34","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_34.pdb.gz","NO","NO","A0A6A2REX5","100","99.6","100","B","",NA,"UniRef90_A0A0B5BLQ1 DUF1751 domain-containing protein n=16 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BLQ1_BIFAD",0.975,540,1.58e-171,"0",NA,"rhomboid family intramembrane serine protease",NA,1.13e-178,498,"S","Rhomboid family","3.4.21.105"
"SpeciesTaxid_1680.NC_008618.1_35","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_35.pdb.gz","NO","NO","A0ZZD1","100","99.8","100","B","",NA,"UniRef90_A7A307 Thump_like domain-containing protein n=57 Tax=Bifidobacterium TaxID=1678 RepID=A7A307_BIFAD",0.962,860,3.16e-279,"0",NA,"class i sam-dependent methyltransferase",NA,7.67000000000014e-311,846,"L","ribosomal rna small subunit methyltransferase","-"
"SpeciesTaxid_1680.NC_008618.1_36","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_36.pdb.gz","NO","NO","R5GZZ4","100","99.4","100","C","",NA,"UniRef90_A7A308 Cell division protein CrgA n=13 Tax=Bifidobacterium TaxID=1678 RepID=A7A308_BIFAD",0.909,293,6.99e-88,"0",NA,"multispecies: cell division protein crga",NA,9.84e-99,287,"D","Involved in cell division","-"
"SpeciesTaxid_1680.NC_008618.1_37","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_37.pdb.gz","NO","NO","R5H0G4","100","99.6","100","B","",NA,"UniRef90_A0A0C2YRW5 DUF881 domain-containing protein n=15 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2YRW5_BIFAD",0.933,508,1.68e-160,"0",NA,"multispecies: duf881 domain-containing protein",NA,1.49e-177,495,"S","Bacterial protein of unknown function (DUF881)","-"
"SpeciesTaxid_1680.NC_008618.1_38","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_38.pdb.gz","NO","NO","A0ZZD4","100","99.7","100","B","sortase A ","3.4.22.70","UniRef90_A0A076JFZ0 Sortase family protein n=51 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JFZ0_BIFAD",0.978,752,4.34e-243,"0",NA,"multispecies: class e sortase",NA,3.35e-270,738,"M","Sortase family","3.4.22.70"
"SpeciesTaxid_1680.NC_008618.1_39","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_39.pdb.gz","NO","NO","A0ZZD5","100","99.5","99.5","B","anthranilate synthase component II ","4.1.3.27","UniRef90_E0Q9F1 Glutamine amidotransferase, class I n=72 Tax=Bifidobacteriales TaxID=85004 RepID=E0Q9F1_9BIFI",0.905,404,2.1e-125,"0","para-aminobenzoate synthetase component II [EC:2.6.1.85]",NA,NA,1.19e-147,416,"EH","para-aminobenzoate synthase glutamine amidotransferase component II","2.6.1.85,4.1.3.27"
"SpeciesTaxid_1680.NC_008618.1_40","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_40.pdb.gz","NO","NO","A0ZZD6","100","99.9","100","B","eukaryotic-like serine/threonine-protein kinase ","2.7.11.1","UniRef90_A0A076JKF0 Non-specific serine/threonine protein kinase n=62 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JKF0_BIFAD",0.863,1225,0,"0","receptor protein-tyrosine kinase [EC:2.7.10.1]",NA,NA,0,1186,"KLT","Protein tyrosine kinase","2.7.11.1"
"SpeciesTaxid_1680.NC_008618.1_41","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_41.pdb.gz","NO","NO","A0A3D1TMT2","100","99.7","100","B","eukaryotic-like serine/threonine-protein kinase ","2.7.11.1","UniRef90_A0A6N2UF87 Non-specific serine/threonine protein kinase n=40 Tax=Bacteria TaxID=2 RepID=A0A6N2UF87_9BIFI",0.913,601,2.05e-191,"0","receptor protein-tyrosine kinase [EC:2.7.10.1]",NA,NA,3.83e-228,628,"T","Protein tyrosine kinase","2.7.11.1"
"SpeciesTaxid_1680.NC_008618.1_42","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_42.pdb.gz","NO","NO","R5GLJ4","100","99.8","100","B","penicillin-binding protein A",NA,"UniRef90_A0A087CQ22 Penicillin binding protein transpeptidase domain protein n=30 Tax=Bifidobacterium TaxID=1678 RepID=A0A087CQ22_BIFRU",0.858,868,1.12e-280,"0","penicillin-binding protein A",NA,NA,0,925,"M","penicillin-binding protein","-"
"SpeciesTaxid_1680.NC_008618.1_43","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_43.pdb.gz","NO","NO","A0ZZD9","100","99.8","100","B","",NA,"UniRef90_A0ZZD9 Protein involved in cell wall formation and stabilization of the FtsZ ring during cell division n=55 Tax=Bifidobacterium TaxID=1678 RepID=A0ZZD9_BIFAA",0.91,1003,0,"0","cell division protein FtsW",NA,NA,0,919,"D","Belongs to the SEDS family","-"
"SpeciesTaxid_1680.NC_008618.1_44","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_44.pdb.gz","NO","NO","A0A1X3A2T3","100","99.8","100","B","PPM family protein phosphatase ","3.1.3.16","UniRef90_A0A174CH08 Phosphoprotein phosphatase n=53 Tax=Bifidobacterium TaxID=1678 RepID=A0A174CH08_BIFAD",0.91,1022,0,"0",NA,"protein phosphatase 2c domain-containing protein",NA,0,933,"T","Sigma factor PP2C-like phosphatases","3.1.3.16"
"SpeciesTaxid_1680.NC_008618.1_45","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_45.pdb.gz","NO","NO","A0A076JKF3","100","99.4","100","C","",NA,"UniRef90_A0A076JKF3 FHA domain protein n=7 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JKF3_BIFAD",0.908,326,3.68e-99,"0",NA,"multispecies: fha domain-containing protein",NA,4.17e-111,320,"T","Inner membrane component of T3SS, cytoplasmic domain","-"
"SpeciesTaxid_1680.NC_008618.1_47","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_47.pdb.gz","NO","NO","A0A1X2ZPH6","99.5","99.9","100","B","",NA,"UniRef90_A0A174AIH6 Dipeptidyl peptidase IV n=83 Tax=Bifidobacterium TaxID=1678 RepID=A0A174AIH6_BIFAD",0.941,1664,0,"0","Xaa-Xaa-Pro tripeptidyl-peptidase [EC:3.4.14.12]",NA,NA,0,1619,"E","Dipeptidyl peptidase IV (DPP IV) N-terminal region","3.4.14.5"
"SpeciesTaxid_1680.NC_008618.1_48","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_48.pdb.gz","NO","NO","A0ZZE4","100","99.8","100","B","",NA,"UniRef90_A0A076JG02 Exodeoxyribonuclease V n=64 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JG02_BIFAD",0.905,808,4.57e-261,"0",NA,"hypothetical protein",NA,8.78e-299,816,"T","Histidine kinase","-"
"SpeciesTaxid_1680.NC_008618.1_49","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_49.pdb.gz","NO","NO","A0ZZE5","100","99.5","100","B","",NA,"UniRef90_A0A0G9MCV9 LuxR family transcriptional regulator n=38 Tax=Bacteria TaxID=2 RepID=A0A0G9MCV9_BIFAD",0.936,436,3.23e-136,"0","two-component system, NarL family, invasion response regulator UvrY",NA,NA,2.31e-153,431,"K","helix_turn_helix, Lux Regulon","-"
"SpeciesTaxid_1680.NC_008618.1_50","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_50.pdb.gz","NO","NO","A0A1X3ADB0","98.6","99.7","100","B","lysophospholipase ","3.1.1.5","UniRef90_A0A173YVH2 Lysophospholipase PldB n=83 Tax=Bifidobacterium TaxID=1678 RepID=A0A173YVH2_BIFAD",0.959,732,7.08e-236,"0","lysophospholipase [EC:3.1.1.5]",NA,NA,4.25e-272,743,"I","Serine aminopeptidase, S33","3.1.1.5"
"SpeciesTaxid_1680.NC_008618.1_51","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_51.pdb.gz","NO","NO","A0ZZE7","100","99.7","100","B","",NA,"UniRef90_A0A076JLG9 EamA family transporter n=26 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JLG9_BIFAD",0.948,599,3.76e-191,"0",NA,"dmt family transporter",NA,6.49e-213,588,"EG","EamA-like transporter family","-"
